%time,field
1412088479028623621,505
1412088479128615701,501
1412088479230317492,490
1412088479329056734,500
1412088479428535309,488
1412088479528481815,495
1412088479628570916,487
1412088479728419301,477
1412088479828479791,497
1412088479929985115,499
1412088480028541641,483
1412088480128679793,477
1412088480228388580,494
1412088480328805890,492
1412088480428372720,484
1412088480528467116,484
1412088480628612650,483
1412088480729215460,478
1412088480828393053,480
1412088480928393443,470
1412088481028466481,477
1412088481128345981,474
1412088481229707654,487
1412088481328372724,473
1412088481428391901,486
1412088481528299257,472
1412088481628534911,470
1412088481728314213,487
1412088481828790438,471
1412088481928480407,469
1412088482028347207,476
1412088482128464047,484
1412088482228370568,483
1412088482328404123,475
1412088482428899390,472
1412088482528384443,457
1412088482628393785,465
1412088482728312933,467
1412088482828497026,456
1412088482928251890,468
1412088483028376726,473
1412088483128536706,462
1412088483228377973,448
1412088483328435857,451
1412088483428336610,458
1412088483528363717,459
1412088483629045706,476
1412088483728775966,450
1412088483828805912,465
1412088483928507091,450
1412088484028560973,450
1412088484128721635,455
1412088484228561896,464
1412088484328348430,468
1412088484428443295,461
1412088484528383277,470
1412088484628340025,470
1412088484729260421,447
1412088484828397705,469
1412088484928457184,458
1412088485028348758,446
1412088485128459981,456
1412088485228997035,468
1412088485328428676,478
1412088485428492570,462
1412088485528313614,454
1412088485628424388,451
1412088485728349277,433
1412088485828370845,440
1412088485928351244,449
1412088486028635885,441
1412088486128313409,451
1412088486228436272,473
1412088486331832175,459
1412088486430151804,444
1412088486528393607,438
1412088486628443969,469
1412088486728385302,449
1412088486828335353,465
1412088486930145087,454
1412088487028415942,429
1412088487128402833,442
1412088487228589602,451
1412088487329022095,449
1412088487428409116,445
1412088487528810234,440
1412088487628419116,447
1412088487728995950,432
1412088487829780147,436
1412088487928386561,423
1412088488028534629,442
1412088488128877201,444
1412088488228588748,433
1412088488328426453,429
1412088488428868359,414
1412088488528457280,435
1412088488628419271,444
1412088488728856348,432
1412088488830218272,424
1412088488928338831,421
1412088489028662566,436
1412088489128601192,422
1412088489229049687,422
1412088489328337112,436
1412088489428391577,426
1412088489528286533,436
1412088489628387895,438
1412088489728415157,417
1412088489828402296,447
1412088489928361355,439
1412088490028342453,430
1412088490128509501,430
1412088490228469541,435
1412088490329196648,442
1412088490428526351,416
1412088490528822791,436
1412088490629377102,431
1412088490728747360,416
1412088490829019490,426
1412088490928789163,412
1412088491028589141,430
1412088491128585199,425
1412088491228731999,406
1412088491328497503,434
1412088491428629493,400
1412088491528729796,418
1412088491629393127,410
1412088491729202057,424
1412088491828170650,413
1412088491928392717,412
1412088492030290292,408
1412088492128292994,408
1412088492229498515,412
1412088492330797681,435
1412088492429293647,408
1412088492528747949,421
1412088492628573944,436
1412088492728692983,414
1412088492828523138,420
1412088492928375846,411
1412088493028354716,415
1412088493130165454,417
1412088493228674724,421
1412088493328364497,419
1412088493428400222,407
1412088493529826605,417
1412088493628465205,418
1412088493728714001,426
1412088493829519611,400
1412088493928475923,407
1412088494029591114,399
1412088494128724535,419
1412088494228702311,427
1412088494328367195,400
1412088494428482646,416
1412088494529745395,402
1412088494628733471,430
1412088494728665727,410
1412088494829962956,401
1412088494928332378,395
1412088495028509520,398
1412088495128873779,429
1412088495228615825,390
1412088495328502417,408
1412088495428379829,388
1412088495529503141,397
1412088495628361955,407
1412088495728363032,395
1412088495829547472,385
1412088495928385273,403
1412088496031614248,409
1412088496128357704,395
1412088496230090721,394
1412088496328368003,405
1412088496428386341,395
1412088496528363508,392
1412088496629356165,388
1412088496728455299,377
1412088496828488885,384
1412088496928350607,390
1412088497028378349,386
1412088497128275104,374
1412088497228329909,388
1412088497328317367,386
1412088497428454357,395
1412088497528314105,400
1412088497628424944,406
1412088497728453185,402
1412088497828443060,402
1412088497928399656,387
1412088498028408643,395
1412088498128540255,401
1412088498228453885,390
1412088498328326209,387
1412088498428432431,382
1412088498528327853,385
1412088498628996136,390
1412088498728319710,379
1412088498828375292,381
1412088498928894576,381
1412088499028505088,386
1412088499128469367,392
1412088499228868828,372
1412088499328424546,393
1412088499428359580,370
1412088499528570706,385
1412088499628376117,394
1412088499728357157,376
1412088499828514315,382
1412088499928568394,385
1412088500028483374,382
1412088500128632624,371
1412088500228771735,373
1412088500329616786,371
1412088500429488296,373
1412088500528331831,382
1412088500628507580,382
1412088500728387029,385
1412088500828493284,358
1412088500929036474,380
1412088501029306131,352
1412088501128586105,375
1412088501228450217,384
1412088501329387075,384
1412088501428400519,366
1412088501528501283,368
1412088501629187898,374
1412088501728439709,379
1412088501828546891,366
1412088501928493510,369
1412088502028267356,353
1412088502128418096,359
1412088502228886492,368
1412088502328577737,383
1412088502428447165,367
1412088502528397943,372
1412088502629672944,359
1412088502728496788,356
1412088502828970426,360
1412088502928514310,397
1412088503028362874,369
1412088503128506248,352
1412088503228449337,385
1412088503329141673,361
1412088503428446226,361
1412088503529124916,346
1412088503628419489,359
1412088503728434145,364
1412088503829648015,339
1412088503928343904,348
1412088504029664873,366
1412088504128438111,365
1412088504228721401,375
1412088504329203861,348
1412088504428732769,365
1412088504528337468,353
1412088504628362809,363
1412088504728441010,346
1412088504828432098,353
1412088504928391907,369
1412088505028426679,343
1412088505128457641,347
1412088505228381139,357
1412088505328289665,355
1412088505428452023,339
1412088505528521247,362
1412088505628653604,350
1412088505728548274,361
1412088505828796734,356
1412088505928630223,360
1412088506030593896,355
1412088506128439325,360
1412088506228593832,341
1412088506328715995,355
1412088506428573781,365
1412088506528340976,360
1412088506628380451,327
1412088506728347246,329
1412088506828292453,329
1412088506928353868,349
1412088507029310807,341
1412088507128350196,332
1412088507229171435,344
1412088507329681344,342
1412088507428301620,336
1412088507528974494,334
1412088507628447855,358
1412088507728419638,344
1412088507828371313,349
1412088507928834563,345
1412088508028859489,337
1412088508128842367,349
1412088508229619088,327
1412088508328947652,338
1412088508428680433,323
1412088508529408612,314
1412088508628701026,331
1412088508728511171,344
1412088508828571204,344
1412088508928409513,322
1412088509028411903,335
1412088509128500470,329
1412088509228321408,346
1412088509328975612,335
1412088509428341661,320
1412088509528476054,334
1412088509628393742,330
1412088509728500389,347
1412088509828485897,345
1412088509928598156,342
1412088510028474764,330
1412088510128386619,330
1412088510228301744,335
1412088510328417089,322
1412088510428374848,319
1412088510528482406,340
1412088510628654339,336
1412088510729161881,331
1412088510828977662,328
1412088510928600806,333
1412088511028569309,336
1412088511128702390,339
1412088511228634881,327
1412088511328903251,336
1412088511428301806,318
1412088511528377800,333
1412088511628326815,323
1412088511728857968,324
1412088511828629654,320
1412088511928371728,326
1412088512028444483,328
1412088512128363475,321
1412088512228383003,298
1412088512328399983,322
1412088512428395342,341
1412088512528439221,319
1412088512628394594,319
1412088512728506160,314
1412088512828550753,336
1412088512928892636,316
1412088513028344639,321
1412088513128338401,331
1412088513229643977,315
1412088513328382387,310
1412088513428276352,320
1412088513528422714,324
1412088513628458776,314
1412088513728611458,304
1412088513828534927,313
1412088513928608851,305
1412088514028347906,337
1412088514128370214,326
1412088514228754010,316
1412088514328386655,340
1412088514428352042,320
1412088514528403168,339
1412088514628948126,312
1412088514728413706,305
1412088514828373059,323
1412088514928947000,298
1412088515028440671,309
1412088515128375535,319
1412088515229056200,315
1412088515328373366,302
1412088515428435179,307
1412088515528481066,302
1412088515628373056,320
1412088515728498585,309
1412088515828421706,296
1412088515928489783,299
1412088516030961621,286
1412088516128341875,328
1412088516228310067,322
1412088516328325478,301
1412088516428386871,317
1412088516528380107,309
1412088516628375005,298
1412088516728891785,308
1412088516828293037,304
1412088516928315274,305
1412088517028491205,294
1412088517128333414,308
1412088517228457014,308
1412088517328506324,278
1412088517428506761,301
1412088517528452474,313
1412088517629048519,306
1412088517728722410,294
1412088517830791926,293
1412088517928456505,302
1412088518028856175,319
1412088518128315997,305
1412088518229422540,306
1412088518328362683,312
1412088518428399431,299
1412088518530405772,291
1412088518628301201,294
1412088518728308886,299
1412088518828357229,305
1412088518928661887,308
1412088519028408397,288
1412088519128372794,311
1412088519229309034,291
1412088519328865009,292
1412088519428372106,302
1412088519529047824,309
1412088519629267732,296
1412088519728321732,276
1412088519829510865,294
1412088519928365215,303
1412088520028549418,310
1412088520128625234,285
1412088520228579640,291
1412088520329602776,314
1412088520428315965,294
1412088520528430971,292
1412088520628540693,302
1412088520728840976,310
1412088520828779410,287
1412088520928579325,303
1412088521028496495,294
1412088521128802457,292
1412088521228496541,269
1412088521328560404,279
1412088521429311588,281
1412088521528494933,269
1412088521628351725,262
1412088521729413957,278
1412088521829226155,267
1412088521928543187,296
1412088522028408405,271
1412088522128817786,267
1412088522228482021,272
1412088522328978154,267
1412088522428330369,286
1412088522529495914,285
1412088522628342334,275
1412088522729309893,269
1412088522829668605,285
1412088522928382716,282
1412088523028369229,286
1412088523128379231,296
1412088523228474406,279
1412088523328506394,268
1412088523428429631,284
1412088523528724619,292
1412088523628385839,286
1412088523728382531,283
1412088523828402336,275
1412088523928472358,276
1412088524029182500,253
1412088524128581642,288
1412088524228384924,267
1412088524329605682,283
1412088524428753586,271
1412088524528350259,266
1412088524628360431,281
1412088524728373174,260
1412088524828865157,274
1412088524928807514,279
1412088525028419160,272
1412088525129779541,270
1412088525228385695,266
1412088525328329650,281
1412088525429020454,277
1412088525528914197,275
1412088525628663240,278
1412088525728751203,269
1412088525828631424,272
1412088525928511768,282
1412088526028399864,266
1412088526128345566,267
1412088526230362385,244
1412088526330285654,257
1412088526428484347,265
1412088526528414628,270
1412088526628553171,286
1412088526729185128,254
1412088526828570418,268
1412088526928299733,279
1412088527029956459,262
1412088527128980402,284
1412088527229389129,283
1412088527328390890,282
1412088527428593263,276
1412088527528431218,266
1412088527628567430,253
1412088527728359805,245
1412088527829325206,250
1412088527928803248,268
1412088528028720743,247
1412088528128796080,243
1412088528228758229,249
1412088528328451861,261
1412088528428508775,262
1412088528528726105,260
1412088528628375272,256
1412088528728304396,260
1412088528828382028,261
1412088528928750709,256
1412088529029365397,243
1412088529128419992,260
1412088529228258890,288
1412088529328385440,261
1412088529428626529,266
1412088529528622945,279
1412088529628588118,278
1412088529729006486,272
1412088529829192499,268
1412088529928484899,266
1412088530028439554,268
1412088530128490331,263
1412088530230419095,243
1412088530328767651,270
1412088530428316766,247
1412088530528386817,263
1412088530628382985,256
1412088530728572337,260
1412088530828820031,256
1412088530928432726,249
1412088531028558402,248
1412088531128914488,247
1412088531228479258,257
1412088531329578132,245
1412088531428340714,272
1412088531528502859,249
1412088531628993659,265
1412088531728316148,251
1412088531828613897,259
1412088531928507083,269
1412088532028497740,271
1412088532129649092,275
1412088532228460551,246
1412088532328388792,234
1412088532428515122,269
1412088532529174697,263
1412088532628520374,243
1412088532728398806,248
1412088532828403579,246
1412088532928369690,249
1412088533028376224,267
1412088533128441464,228
1412088533228404586,230
1412088533328432948,251
1412088533428433676,233
1412088533528726730,262
1412088533629054797,248
1412088533728528308,243
1412088533828328104,246
1412088533928399609,244
1412088534028371847,232
1412088534128377137,245
1412088534229719903,237
1412088534328432088,260
1412088534428386970,255
1412088534529296901,258
1412088534628542955,233
1412088534728410248,236
1412088534829265811,241
1412088534928454650,268
1412088535028393503,251
1412088535128519190,246
1412088535228264482,244
1412088535328883492,220
1412088535428406990,244
1412088535528460435,248
1412088535628377914,235
1412088535729084046,243
1412088535828345162,232
1412088535928367224,221
1412088536029561356,236
1412088536128401247,246
1412088536228396383,239
1412088536328722505,222
1412088536429161202,230
1412088536529551666,248
1412088536630222732,230
1412088536729128383,215
1412088536828354194,234
1412088536929642865,226
1412088537028753271,223
1412088537128543960,243
1412088537228389010,243
1412088537328354785,238
1412088537428414614,224
1412088537529357412,261
1412088537628399673,224
1412088537728534070,241
1412088537828437719,234
1412088537929221516,241
1412088538028622170,236
1412088538128281868,238
1412088538228333600,240
1412088538330076683,224
1412088538428336761,218
1412088538529420291,242
1412088538628433356,243
1412088538728696612,224
1412088538828439379,215
1412088538930624438,245
1412088539029496675,233
1412088539129227038,217
1412088539229795928,214
1412088539328554067,245
1412088539428321461,232
1412088539528363254,230
1412088539628410933,232
1412088539729746278,213
1412088539829104826,219
1412088539928566896,238
1412088540028542866,230
1412088540128329439,233
1412088540228466561,236
1412088540328316959,198
1412088540428405790,236
1412088540528999977,226
1412088540628626961,224
1412088540728558625,234
1412088540828493385,218
1412088540929328763,212
1412088541028400040,202
1412088541128561221,236
1412088541228612933,229
1412088541329053816,219
1412088541429268366,228
1412088541528876313,203
1412088541628857085,236
1412088541729252785,241
1412088541829777844,230
1412088541928569569,215
1412088542028343328,234
1412088542129844354,222
1412088542229000224,210
1412088542329551025,222
1412088542429147369,237
1412088542529264561,210
1412088542628397650,218
1412088542728795446,217
1412088542828382612,228
1412088542928453567,232
1412088543028488596,231
1412088543128345382,252
1412088543228425458,208
1412088543328791117,228
1412088543429343745,220
1412088543528384125,209
1412088543628479019,221
1412088543728361713,215
1412088543828373669,218
1412088543929153478,213
1412088544029027664,212
1412088544128820432,229
1412088544228801177,200
1412088544329041064,214
1412088544428332570,232
1412088544528456871,226
1412088544628502610,222
1412088544728390220,219
1412088544828590403,220
1412088544928381125,221
1412088545029088510,210
1412088545128439566,205
1412088545228335192,203
1412088545328480016,215
1412088545428476298,220
1412088545528410732,229
1412088545628404387,208
1412088545728504816,212
1412088545828466755,216
1412088545928329669,217
1412088546028719952,216
1412088546128916665,214
1412088546228380229,217
1412088546328582991,205
1412088546428492387,206
1412088546529599847,210
1412088546628321540,214
1412088546728818065,208
1412088546828602743,203
1412088546928378207,191
1412088547028457056,203
1412088547128397240,206
1412088547228447320,212
1412088547328697955,204
1412088547428370448,214
1412088547529684933,205
1412088547628638878,218
1412088547728929842,206
1412088547828364766,209
1412088547928389603,207
1412088548029002380,214
1412088548128412657,199
1412088548228505783,193
1412088548328332241,195
1412088548428605013,218
1412088548528383204,206
1412088548628511128,205
1412088548728481299,204
1412088548828465302,196
1412088548929894040,205
1412088549028369885,212
1412088549128394200,180
1412088549228484100,205
1412088549328514663,210
1412088549428645084,200
1412088549528336653,204
1412088549628511961,211
1412088549728376619,197
1412088549829619903,196
1412088549928370742,199
1412088550028380926,211
1412088550128395637,188
1412088550228397244,200
1412088550328350821,183
1412088550428406760,190
1412088550528401732,195
1412088550628444581,202
1412088550728688155,211
1412088550830377933,192
1412088550929894773,187
1412088551028574007,211
1412088551128490501,206
1412088551228399109,195
1412088551328406399,194
1412088551428474154,187
1412088551530187731,180
1412088551628764044,199
1412088551728513541,194
1412088551828385310,203
1412088551928475837,192
1412088552029678400,214
1412088552128473849,195
1412088552228572005,198
1412088552328331193,183
1412088552428460641,185
1412088552529258132,190
1412088552629197842,201
1412088552728557124,192
1412088552828440263,174
1412088552928506968,183
1412088553028888203,204
1412088553128416614,195
1412088553228571025,196
1412088553328497322,196
1412088553428433738,203
1412088553528304794,184
1412088553628967084,184
1412088553728361963,193
1412088553828374435,195
1412088553928320856,187
1412088554028299413,195
1412088554128434191,205
1412088554228469550,189
1412088554328380856,191
1412088554428458958,178
1412088554528422979,177
1412088554628417650,203
1412088554728943656,192
1412088554828358184,181
1412088554928439162,182
1412088555028411390,187
1412088555128368828,192
1412088555228313723,196
1412088555328349453,192
1412088555428466600,175
1412088555528355552,190
1412088555628399852,199
1412088555730178624,213
1412088555828477420,205
1412088555928885316,204
1412088556030864385,192
1412088556128303131,203
1412088556228336892,194
1412088556328585946,196
1412088556428531570,193
1412088556528313464,201
1412088556628357348,202
1412088556728623552,189
1412088556828354620,180
1412088556928458077,179
1412088557028825911,178
1412088557128337728,217
1412088557228338367,174
1412088557328347042,182
1412088557428480329,179
1412088557528527623,169
1412088557628720119,175
1412088557729178484,182
1412088557828224102,173
1412088557930117417,180
1412088558029509835,153
1412088558128448952,193
1412088558229281148,194
1412088558328352400,194
1412088558429781959,163
1412088558528518460,184
1412088558628638968,189
1412088558728318280,172
1412088558828313518,194
1412088558929414787,166
1412088559028614608,179
1412088559128437790,186
1412088559228376665,187
1412088559328487561,204
1412088559428525987,171
1412088559528382639,176
1412088559628403940,174
1412088559728538288,170
1412088559828645105,169
1412088559928365413,183
1412088560028353753,182
1412088560128209655,194
1412088560228261748,196
1412088560328496396,172
1412088560428344984,200
1412088560529781899,190
1412088560628895926,181
1412088560729006450,178
1412088560828797667,185
1412088560928874177,187
1412088561028738976,179
1412088561128473934,181
1412088561228622071,169
1412088561328299567,169
1412088561428486303,170
1412088561528425873,173
1412088561628451406,180
1412088561729311987,175
1412088561828340437,179
1412088561928398361,171
1412088562028355678,172
1412088562128829247,163
1412088562228901167,173
1412088562328960446,163
1412088562428908400,176
1412088562529053511,174
1412088562628627077,181
1412088562728887333,163
1412088562828752248,176
1412088562928958987,169
1412088563028609371,194
1412088563128496498,169
1412088563228572890,179
1412088563328455306,162
1412088563428379658,175
1412088563528448750,155
1412088563628412576,155
1412088563728381776,168
1412088563828405205,177
1412088563928392645,184
1412088564028243090,157
1412088564129262414,178
1412088564228419030,174
1412088564328376376,175
1412088564428372620,172
1412088564528315508,170
1412088564628483569,173
1412088564728300207,166
1412088564828352522,164
1412088564928350267,177
1412088565028343871,162
1412088565128422553,185
1412088565229048473,163
1412088565328294853,175
1412088565428401074,146
1412088565528435218,171
1412088565628396899,161
1412088565728513559,157
1412088565828386333,172
1412088565928375614,166
1412088566029954012,166
1412088566128985370,163
1412088566228363965,161
