%time,field.data
1412088478996223665,0.1
1412088479096185544,0.1
1412088479196017298,0.1
1412088479294900859,0.1
1412088479395003410,0.1
1412088479494603549,0.1
1412088479595290640,0.1
1412088479694909296,0.105
1412088479795834465,0.105
1412088479895945857,0.105
1412088479994983837,0.105
1412088480094893526,0.105
1412088480194988891,0.105
1412088480294906769,0.105
1412088480394770107,0.105
1412088480494770394,0.105
1412088480594911213,0.105
1412088480694508407,0.11
1412088480795581452,0.11
1412088480894793340,0.11
1412088480994796383,0.11
1412088481094792772,0.11
1412088481195029992,0.11
1412088481294722521,0.11
1412088481394592069,0.11
1412088481494517872,0.11
1412088481594614506,0.11
1412088481695038899,0.115
1412088481794995365,0.115
1412088481894680197,0.115
1412088481995903649,0.115
1412088482094850351,0.115
1412088482195530449,0.115
1412088482294510063,0.115
1412088482395669062,0.115
1412088482494905199,0.115
1412088482594847154,0.115
1412088482694609805,0.12
1412088482794275348,0.12
1412088482894651847,0.12
1412088482994363602,0.12
1412088483094461375,0.12
1412088483195718292,0.12
1412088483294559977,0.12
1412088483394497446,0.12
1412088483494708903,0.12
1412088483594450337,0.12
1412088483694866768,0.125
1412088483794927587,0.125
1412088483894781673,0.125
1412088483995624325,0.125
1412088484095790439,0.125
1412088484194315919,0.125
1412088484294421015,0.125
1412088484394642966,0.125
1412088484494766123,0.125
1412088484594684105,0.125
1412088484695482447,0.13
1412088484794217495,0.13
1412088484894591483,0.13
1412088484994743204,0.13
1412088485094886746,0.13
1412088485196121136,0.13
1412088485294417179,0.13
1412088485394579938,0.13
1412088485495370198,0.13
1412088485594908296,0.13
1412088485694849481,0.135
1412088485794677082,0.135
1412088485894815965,0.135
1412088485995250758,0.135
1412088486094685752,0.135
1412088486194340363,0.135
1412088486294351665,0.135
1412088486395176570,0.135
1412088486494997577,0.135
1412088486594823056,0.135
1412088486694284801,0.14
1412088486794399411,0.14
1412088486894652416,0.14
1412088486994288779,0.14
1412088487095558764,0.14
1412088487194671028,0.14
1412088487294806662,0.14
1412088487394426333,0.14
1412088487494499430,0.14
1412088487595160407,0.14
1412088487694769225,0.145
1412088487794248074,0.145
1412088487894522276,0.145
1412088487994297849,0.145
1412088488094263765,0.145
1412088488194960347,0.145
1412088488295422957,0.145
1412088488394570215,0.145
1412088488494335147,0.145
1412088488595213786,0.145
1412088488694776205,0.15
1412088488794775122,0.15
1412088488894240711,0.15
1412088488994333510,0.15
1412088489094356855,0.15
1412088489194590342,0.15
1412088489294563950,0.15
1412088489394548330,0.15
1412088489494120256,0.15
1412088489594810321,0.15
1412088489694328659,0.155
1412088489794122596,0.155
1412088489894260754,0.155
1412088489995109741,0.155
1412088490095166770,0.155
1412088490194440592,0.155
1412088490294992858,0.155
1412088490394339415,0.155
1412088490494652714,0.155
1412088490594946490,0.155
1412088490694437104,0.16
1412088490793990844,0.16
1412088490894950598,0.16
1412088490994657947,0.16
1412088491094003075,0.16
1412088491195218782,0.16
1412088491294036545,0.16
1412088491394042021,0.16
1412088491494187920,0.16
1412088491594109881,0.16
1412088491694179202,0.165
1412088491794079061,0.165
1412088491894919975,0.165
1412088491994829529,0.165
1412088492094074916,0.165
1412088492194069008,0.165
1412088492294079732,0.165
1412088492394336866,0.165
1412088492495270674,0.165
1412088492596359476,0.165
1412088492694003063,0.17
1412088492794941443,0.17
1412088492894226443,0.17
1412088492994028662,0.17
1412088493094084596,0.17
1412088493194146780,0.17
1412088493294177705,0.17
1412088493394269622,0.17
1412088493494470110,0.17
1412088493594294967,0.17
1412088493694497241,0.175
1412088493794378396,0.175
1412088493894325832,0.175
1412088493995633907,0.175
1412088494094945508,0.175
1412088494194311174,0.175
1412088494294326658,0.175
1412088494395732686,0.175
1412088494494565780,0.175
1412088494594690406,0.175
1412088494695404645,0.18
1412088494794617162,0.18
1412088494894477775,0.18
1412088494994544008,0.18
1412088495095634164,0.18
1412088495194463938,0.18
1412088495294470092,0.18
1412088495395327150,0.18
1412088495494936965,0.18
1412088495594866592,0.18
1412088495694295691,0.185
1412088495794490020,0.185
1412088495894917610,0.185
1412088495994855886,0.185
1412088496094917938,0.185
1412088496195117546,0.185
1412088496294312598,0.185
1412088496394553375,0.185
1412088496494650219,0.185
1412088496596166489,0.185
1412088496695539938,0.19
1412088496795767974,0.19
1412088496895351010,0.19
1412088496995528133,0.19
1412088497094929814,0.19
1412088497194716325,0.19
1412088497295258697,0.19
1412088497394676295,0.19
1412088497494457588,0.19
1412088497595669618,0.19
1412088497694465436,0.195
1412088497796021918,0.195
1412088497894884463,0.195
1412088497994535335,0.195
1412088498094609197,0.195
1412088498194677970,0.195
1412088498294656564,0.195
1412088498394505840,0.195
1412088498495741607,0.195
1412088498595018559,0.195
1412088498694853400,0.2
1412088498794686853,0.2
1412088498895022806,0.2
1412088498995025017,0.2
1412088499095175712,0.2
1412088499194863090,0.2
1412088499294329635,0.2
1412088499394618955,0.2
1412088499494982184,0.2
1412088499595057028,0.2
1412088499695047268,0.205
1412088499794325519,0.205
1412088499894468336,0.205
1412088499994488394,0.205
1412088500094776648,0.205
1412088500195412242,0.205
1412088500295324467,0.205
1412088500394847600,0.205
1412088500495041166,0.205
1412088500595445680,0.205
1412088500694885674,0.21
1412088500794303024,0.21
1412088500895672241,0.21
1412088500994926559,0.21
1412088501094767534,0.21
1412088501196206955,0.21
1412088501294275368,0.21
1412088501394802067,0.21
1412088501495131822,0.21
1412088501596317532,0.21
1412088501694504308,0.215
1412088501794565664,0.215
1412088501895552978,0.215
1412088501994605608,0.215
1412088502094493214,0.215
1412088502194759413,0.215
1412088502294364480,0.215
1412088502394572302,0.215
1412088502495052591,0.215
1412088502595027112,0.215
1412088502695172410,0.22
1412088502794775692,0.22
1412088502894790166,0.22
1412088502995431836,0.22
1412088503094721520,0.22
1412088503194315328,0.22
1412088503295278259,0.22
1412088503394877930,0.22
1412088503495272733,0.22
1412088503594704115,0.22
1412088503694534670,0.225
1412088503794677344,0.225
1412088503894843167,0.225
1412088503994484451,0.225
1412088504094618130,0.225
1412088504194898200,0.225
1412088504295059388,0.225
1412088504394557511,0.225
1412088504495655191,0.225
1412088504594971043,0.225
1412088504694606787,0.23
1412088504794699797,0.23
1412088504894849964,0.23
1412088504994988218,0.23
1412088505095022139,0.23
1412088505194452055,0.23
1412088505294376898,0.23
1412088505395435626,0.23
1412088505494370758,0.23
1412088505594397431,0.23
1412088505695279468,0.235
1412088505794546528,0.235
1412088505894554048,0.235
1412088505994691478,0.235
1412088506095084870,0.235
1412088506194324533,0.235
1412088506294003678,0.235
1412088506395509295,0.235
1412088506494064047,0.235
1412088506594373319,0.235
1412088506695565581,0.24
1412088506794520013,0.24
1412088506894655360,0.24
1412088506994387642,0.24
1412088507094120931,0.24
1412088507194681757,0.24
1412088507294317130,0.24
1412088507394749313,0.24
1412088507494856030,0.24
1412088507594821204,0.24
1412088507694235806,0.245
1412088507794423086,0.245
1412088507894648707,0.245
1412088507994746286,0.245
1412088508094876447,0.245
1412088508194929886,0.245
1412088508294628668,0.245
1412088508394907608,0.245
1412088508496014883,0.245
1412088508594759843,0.245
1412088508694902153,0.25
1412088508795523084,0.25
1412088508894840021,0.25
1412088508994476321,0.25
1412088509094775373,0.25
1412088509194908182,0.25
1412088509294641558,0.25
1412088509395166266,0.25
1412088509495703620,0.25
1412088509595549222,0.25
1412088509694942649,0.255
1412088509794431677,0.255
1412088509894403825,0.255
1412088509995333130,0.255
1412088510094868283,0.255
1412088510194361056,0.255
1412088510294374496,0.255
1412088510395506780,0.255
1412088510495395540,0.255
1412088510594550748,0.255
1412088510694440286,0.26
1412088510794354842,0.26
1412088510895865639,0.26
1412088510994657722,0.26
1412088511094375825,0.26
1412088511194406558,0.26
1412088511295355192,0.26
1412088511394977868,0.26
1412088511495047891,0.26
1412088511594434880,0.26
1412088511694670916,0.265
1412088511794304142,0.265
1412088511894852602,0.265
1412088511995968773,0.265
1412088512094948483,0.265
1412088512194709986,0.265
1412088512294277829,0.265
1412088512394700914,0.265
1412088512494523923,0.265
1412088512595720901,0.265
1412088512695142963,0.27
1412088512795384752,0.27
1412088512894419924,0.27
1412088512995347467,0.27
1412088513094407639,0.27
1412088513195682155,0.27
1412088513295083709,0.27
1412088513394404082,0.27
1412088513495883663,0.27
1412088513595121440,0.27
1412088513695091125,0.275
1412088513794346525,0.275
1412088513894977590,0.275
1412088513994438120,0.275
1412088514094582228,0.275
1412088514194648933,0.275
1412088514294146536,0.275
1412088514395327004,0.275
1412088514494513572,0.275
1412088514594734399,0.275
1412088514694746035,0.28
1412088514795365885,0.28
1412088514894349790,0.28
1412088514994439129,0.28
1412088515094566942,0.28
1412088515194943217,0.28
1412088515295632118,0.28
1412088515395109788,0.28
1412088515494884694,0.28
1412088515594957002,0.28
1412088515695095415,0.285
1412088515794678303,0.285
1412088515894892586,0.285
1412088515994777917,0.285
1412088516095436991,0.285
1412088516194850475,0.285
1412088516294274221,0.285
1412088516394831073,0.285
1412088516495282517,0.285
1412088516594327430,0.285
1412088516695626156,0.29
1412088516794140641,0.29
1412088516894440059,0.29
1412088516994789266,0.29
1412088517095503836,0.29
1412088517194803452,0.29
1412088517294995705,0.29
1412088517395575737,0.29
1412088517495050780,0.29
1412088517595796462,0.29
1412088517694286612,0.295
1412088517795293456,0.295
1412088517894886853,0.295
1412088517995006115,0.295
1412088518095024051,0.295
1412088518195049203,0.295
1412088518294900011,0.295
1412088518395294586,0.295
1412088518495789386,0.295
1412088518595022035,0.295
1412088518695203564,0.3
1412088518794415221,0.3
1412088518895432391,0.3
1412088518994589572,0.3
1412088519095580678,0.3
1412088519194846606,0.3
1412088519294419522,0.3
1412088519394445338,0.3
1412088519494637115,0.3
1412088519594747387,0.3
1412088519694867649,0.305
1412088519794273339,0.305
1412088519895033895,0.305
1412088519995057938,0.305
1412088520094396730,0.305
1412088520194626613,0.305
1412088520294460041,0.305
1412088520394600153,0.305
1412088520494479286,0.305
1412088520594497318,0.305
1412088520694924772,0.31
1412088520794414257,0.31
1412088520894865909,0.31
1412088520995014629,0.31
1412088521094920347,0.31
1412088521196228118,0.31
1412088521294251070,0.31
1412088521395561510,0.31
1412088521494970808,0.31
1412088521595554995,0.31
1412088521694337592,0.315
1412088521794241426,0.315
1412088521894581746,0.315
1412088521995921138,0.315
1412088522094430859,0.315
1412088522194375719,0.315
1412088522294418066,0.315
1412088522395336451,0.315
1412088522494958940,0.315
1412088522595181594,0.315
1412088522694979384,0.32
1412088522794208177,0.32
1412088522895606684,0.32
1412088522994665616,0.32
1412088523095950603,0.32
1412088523194964555,0.32
1412088523294442077,0.32
1412088523395363798,0.32
1412088523494753898,0.32
1412088523594989643,0.32
1412088523694641988,0.325
1412088523795268711,0.325
1412088523894429456,0.325
1412088523995533465,0.325
1412088524094843398,0.325
1412088524195591168,0.325
1412088524294236342,0.325
1412088524394811544,0.325
1412088524495560816,0.325
1412088524594760616,0.325
1412088524694500216,0.33
1412088524794272188,0.33
1412088524894818983,0.33
1412088524994734776,0.33
1412088525094733548,0.33
1412088525194848764,0.33
1412088525294956439,0.33
1412088525394733554,0.33
1412088525494572397,0.33
1412088525594590171,0.33
1412088525694713205,0.335
1412088525794421484,0.335
1412088525895502507,0.335
1412088525994852294,0.335
1412088526094655839,0.335
1412088526194337151,0.335
1412088526294324711,0.335
1412088526395371344,0.335
1412088526494417613,0.335
1412088526595355054,0.335
1412088526694804092,0.34
1412088526794551580,0.34
1412088526894809676,0.34
1412088526994479209,0.34
1412088527094305517,0.34
1412088527195107046,0.34
1412088527294640796,0.34
1412088527395696261,0.34
1412088527494498240,0.34
1412088527594944387,0.34
1412088527694092142,0.345
1412088527794964725,0.345
1412088527895468385,0.345
1412088527994751625,0.345
1412088528094874436,0.345
1412088528194906719,0.345
1412088528294949361,0.345
1412088528394577035,0.345
1412088528496198717,0.345
1412088528595604660,0.345
1412088528694913360,0.35
1412088528794714514,0.35
1412088528894541405,0.35
1412088528994442719,0.35
1412088529095661176,0.35
1412088529194823312,0.35
1412088529294254650,0.35
1412088529394454291,0.35
1412088529494472351,0.35
1412088529595462139,0.35
1412088529695753313,0.355
1412088529795513211,0.355
1412088529895711480,0.355
1412088529994432420,0.355
1412088530094414732,0.355
1412088530194480639,0.355
1412088530294743231,0.355
1412088530394797983,0.355
1412088530494491214,0.355
1412088530595431264,0.355
1412088530694973141,0.36
1412088530794465079,0.36
1412088530895189297,0.36
1412088530994775052,0.36
1412088531094905223,0.36
1412088531194430457,0.36
1412088531294600532,0.36
1412088531394787978,0.36
1412088531494638327,0.36
1412088531594934380,0.36
1412088531694697525,0.365
1412088531794501920,0.365
1412088531894625678,0.365
1412088531995946117,0.365
1412088532094705863,0.365
1412088532194995021,0.365
1412088532294455402,0.365
1412088532394713700,0.365
1412088532495501786,0.365
1412088532594492628,0.365
1412088532694615007,0.37
1412088532795369462,0.37
1412088532894721743,0.37
1412088532994626491,0.37
1412088533095663945,0.37
1412088533194788833,0.37
1412088533294516791,0.37
1412088533394659080,0.37
1412088533495641201,0.37
1412088533594925385,0.37
1412088533694669231,0.375
1412088533794534440,0.375
1412088533895428740,0.375
1412088533995176199,0.375
1412088534094409686,0.375
1412088534194412302,0.375
1412088534295584624,0.375
1412088534394390980,0.375
1412088534494443449,0.375
1412088534594522844,0.375
1412088534695129016,0.38
1412088534794386492,0.38
1412088534894719122,0.38
1412088534994182566,0.38
1412088535094814924,0.38
1412088535194443085,0.38
1412088535295144985,0.38
1412088535394936847,0.38
1412088535494657820,0.38
1412088535595622857,0.38
1412088535694760591,0.385
1412088535794198538,0.385
1412088535895680774,0.385
1412088535995564699,0.385
1412088536094531421,0.385
1412088536194699781,0.385
1412088536294529556,0.385
1412088536395679949,0.385
1412088536494786439,0.385
1412088536594532294,0.385
1412088536695716538,0.39
1412088536794738702,0.39
1412088536894851550,0.39
1412088536994763141,0.39
1412088537095038116,0.39
1412088537194709126,0.39
1412088537294543747,0.39
1412088537395492606,0.39
1412088537494895401,0.39
1412088537594490992,0.39
1412088537694499219,0.395
1412088537794751157,0.395
1412088537894597021,0.395
1412088537994829714,0.395
1412088538095956994,0.395
1412088538196102350,0.395
1412088538295840827,0.395
1412088538395865066,0.395
1412088538495095894,0.395
1412088538594931095,0.395
1412088538695969706,0.4
1412088538794666071,0.4
1412088538895554807,0.4
1412088538994667321,0.4
1412088539094696938,0.4
1412088539194890157,0.4
1412088539294589796,0.4
1412088539395081102,0.4
1412088539494780783,0.4
1412088539594878839,0.4
1412088539694972293,0.405
1412088539794262826,0.405
1412088539895168315,0.405
1412088539995157338,0.405
1412088540094987346,0.405
1412088540194994220,0.405
1412088540294472262,0.405
1412088540395389933,0.405
1412088540494810871,0.405
1412088540595091173,0.405
1412088540694384519,0.41
1412088540794646045,0.41
1412088540894527814,0.41
1412088540995648214,0.41
1412088541095613778,0.41
1412088541194942829,0.41
1412088541294613699,0.41
1412088541394807019,0.41
1412088541494779568,0.41
1412088541595651184,0.41
1412088541694949019,0.415
1412088541794877320,0.415
1412088541894928186,0.415
1412088541994365012,0.415
1412088542094830465,0.415
1412088542196080000,0.415
1412088542295359837,0.415
1412088542395351253,0.415
1412088542494824130,0.415
1412088542594901611,0.415
1412088542694921876,0.42
1412088542794458278,0.42
1412088542894525292,0.42
1412088542994513124,0.42
1412088543094500022,0.42
1412088543195726008,0.42
1412088543294231093,0.42
1412088543394963788,0.42
1412088543494524820,0.42
1412088543596080676,0.42
1412088543694970740,0.425
1412088543794996326,0.425
1412088543894740354,0.425
1412088543994831590,0.425
1412088544094957591,0.425
1412088544196352986,0.425
1412088544294447253,0.425
1412088544395369585,0.425
1412088544494663383,0.425
1412088544594842306,0.425
1412088544694563816,0.43
1412088544795398038,0.43
1412088544894441973,0.43
1412088544995628392,0.43
1412088545095614264,0.43
1412088545194587040,0.43
1412088545294779590,0.43
1412088545394544885,0.43
1412088545494731941,0.43
1412088545595103172,0.43
1412088545695004865,0.435
1412088545795000446,0.435
1412088545895076224,0.435
1412088545995936278,0.435
1412088546095160548,0.435
1412088546195144012,0.435
1412088546295056525,0.435
1412088546394949319,0.435
1412088546494542893,0.435
1412088546595674685,0.435
1412088546694391574,0.44
1412088546794933406,0.44
1412088546895633377,0.44
1412088546994983441,0.44
1412088547094973970,0.44
1412088547194996674,0.44
1412088547295095998,0.44
1412088547394919429,0.44
1412088547494764899,0.44
